Date,Distance walking / running(mi),Flights climbed(count),Step count(count)
8/4/2020,0.536,8,1199.371
8/5/2020,0.373,8,853.629
8/6/2020,1.288,11,3089
8/7/2020,1.199,8,2678
8/8/2020,2.183,14,5008
8/9/2020,0.664,12,1536.926
8/10/2020,0.791,11,1760.074
8/11/2020,0.823,7,1902
8/12/2020,0.492,6,1134
8/13/2020,0.74,7,1693
8/14/2020,0.535,9,1222
8/15/2020,1.015,12,2366
8/16/2020,0.4,6,883
8/17/2020,1.835,14,4339
8/18/2020,0.441,5,1018
8/19/2020,0.55,7,1324
8/20/2020,0.755,9,1578
8/21/2020,0.945,8,2119
8/22/2020,0.637,9,1427
8/23/2020,0.73,13,1599
8/24/2020,0.526,10,1159
8/25/2020,0.55,10,1267
8/26/2020,0.821,13,1897
8/27/2020,1.339,21,3232
8/28/2020,3.103,28,7622
8/29/2020,7.718,21,18299
8/30/2020,3.926,7,9317
8/31/2020,3.796,7,9451
9/1/2020,1.572,3,3691
9/2/2020,3.456,4,8027
9/3/2020,5.757,9,12578.89
9/4/2020,1.684,2,3836.11
9/5/2020,3.352,5,7888
9/6/2020,3.469,9,8061
9/7/2020,1.95,4,4604
9/8/2020,1.563,11,3422
9/9/2020,3.625,5,8099
9/10/2020,3.386,3,7703
9/11/2020,2.11,5,4774
9/12/2020,2.992,7,6927
9/13/2020,2.485,2,5861
9/14/2020,1.468,7,3450
9/15/2020,3.091,4,7282
9/16/2020,1.934,8,4343
9/17/2020,2.373,6,5246
9/18/2020,2.106,4,4778
9/19/2020,2.559,7,5766
9/20/2020,1.599,6,3566
9/21/2020,2.36,5,5489
9/22/2020,2.52,4,5327
9/23/2020,5.576,7,12068.152
9/24/2020,2.458,4,5513.848
9/25/2020,2.862,8,6466.727
9/26/2020,2.887,8,6662.273
9/27/2020,1.366,5,3325
9/28/2020,1.678,3,3641
9/29/2020,2.388,7,5412
9/30/2020,3.011,5,6588
10/1/2020,1.345,3,3289
10/2/2020,3.905,4,9018
10/3/2020,1.137,5,2684
10/4/2020,1.111,3,2411.541
10/5/2020,2.828,3,6330.459
10/6/2020,1.541,3,3373
10/7/2020,2.895,4,5974
10/8/2020,1.999,3,4274
10/9/2020,2.471,6,5384
10/10/2020,2.692,7,5867.32
10/11/2020,0.979,4,2239.68
10/12/2020,2.352,5,5144
10/13/2020,1.452,8,3148
10/14/2020,2.534,4,5508
10/15/2020,0.967,3,2234
10/16/2020,2.081,2,4488
10/17/2020,0.531,3,1121
10/18/2020,0.983,7,2232
10/19/2020,2.552,6,5385
10/20/2020,1.306,2,2899
10/21/2020,1.535,3,3555
10/22/2020,2.642,2,6131
10/23/2020,5.627,6,12314
10/24/2020,3.361,8,8251
10/25/2020,0.525,1,1183
10/26/2020,0.259,3,570
10/27/2020,0.914,4,2103
10/28/2020,2.743,3,6073
10/29/2020,1.363,8,2995
10/30/2020,3.217,6,7100
10/31/2020,1.199,5,2672
11/1/2020,1.675,14,3987
